Home Win/Loss,Home Team Streak,Away Team Streak,record_home,record_away,fg_pct_home Rolling Avg,fg_pct_away Rolling Avg,fg3_pct_home Rolling Avg,fg3_pct_away Rolling Avg,ft_pct_home Rolling Avg,ft_pct_away Rolling Avg,reb_home Rolling Avg,reb_away Rolling Avg,ast_home Rolling Avg,ast_away Rolling Avg,stl_home Rolling Avg,stl_away Rolling Avg,blk_home Rolling Avg,blk_away Rolling Avg,tov_home Rolling Avg,tov_away Rolling Avg,plus_minus_home Rolling Avg,plus_minus_away Rolling Avg
W,0.0,0.0,1.0,0.2,0.46719999999999995,0.41879999999999995,0.3778,0.34700000000000003,0.7796,0.78,45.4,48.4,19.2,19.8,7.4,6.2,4.4,4.8,16.0,15.8,3.0,-7.8
W,1.0,1.0,1.0,1.0,0.522,0.442,0.303,0.405,0.9,0.909,47.0,33.0,33.0,25.0,7.0,10.0,7.0,1.0,12.0,14.0,13.0,-13.0
L,1.0,0.0,1.0,0.2,0.477,0.43620000000000003,0.4,0.34500000000000003,0.821,0.7894,38.0,45.6,25.0,27.8,5.0,6.0,3.0,8.4,13.0,15.0,-10.0,-6.0
L,0.0,2.0,1.0,1.0,0.512,0.517,0.394,0.457,0.813,0.765,34.0,42.0,28.0,18.0,9.0,5.0,2.0,2.0,19.0,16.0,-9.0,9.0
W,0.0,0.0,0.0,0.3333333333333333,0.553,0.45099999999999996,0.452,0.3262,0.724,0.8550000000000001,43.0,40.6,27.0,25.8,1.0,8.8,6.0,3.0,21.0,13.6,6.0,-0.8
L,0.0,0.0,0.5,0.3333333333333333,0.45499999999999996,0.4758,0.3684,0.36760000000000004,0.8560000000000001,0.8164,43.8,39.6,24.2,24.4,9.4,7.4,4.8,5.0,13.6,11.6,-1.2,3.0
W,0.0,1.0,0.6666666666666666,1.0,0.4386,0.4622,0.3262,0.392,0.7014,0.7173999999999999,47.6,44.8,28.6,24.2,10.0,6.0,7.4,6.2,15.2,13.4,-1.4,-1.2
L,0.0,2.0,0.5,0.4,0.4,0.4288,0.2,0.3012,0.794,0.798,49.0,48.4,17.0,24.2,8.0,9.0,5.0,5.4,16.0,11.2,-6.0,0.0
L,0.0,0.0,0.2,0.3333333333333333,0.46420000000000006,0.457,0.31720000000000004,0.377,0.7896,0.8378,40.0,45.4,23.6,29.6,6.8,5.4,8.4,8.8,13.8,14.8,-8.6,-2.6
W,3.0,0.0,1.0,1.0,0.489,0.48439999999999994,0.389,0.3412,0.655,0.834,49.0,44.0,24.0,26.4,8.0,8.2,5.0,7.2,12.0,11.4,8.0,6.4
W,0.0,1.0,0.4,0.6,0.4732,0.48,0.3922,0.35960000000000003,0.738,0.7964,45.8,42.0,27.2,29.4,7.0,7.8,5.8,4.2,14.6,17.4,1.8,-0.4
W,2.0,0.0,1.0,0.6,0.48339999999999994,0.4652,0.4208,0.3342,0.8119999999999999,0.7482,43.8,50.8,23.8,25.2,6.0,5.8,4.0,6.0,15.4,13.4,11.8,5.2
