Home Team,Away Team,Game Date,Winner,Home Win/Loss,fg_pct_home,fg3_pct_home,ft_pct_home,reb_home,ast_home,stl_home,blk_home,tov_home,plus_minus_home,fg_pct_away,fg3_pct_away,ft_pct_away,reb_away,ast_away,stl_away,blk_away,tov_away,plus_minus_away
OKC,LAC,2022-10-27,OKC,W,0.495,0.447,0.875,36.0,27.0,10.0,4.0,12.0,8,0.537,0.321,0.722,44.0,21.0,6.0,5.0,20.0,-8
BKN,DAL,2022-10-27,DAL,L,0.462,0.343,0.9,45.0,20.0,10.0,6.0,15.0,-4,0.506,0.5,0.771,37.0,25.0,8.0,4.0,18.0,4
SAC,MEM,2022-10-27,MEM,L,0.482,0.316,0.818,40.0,28.0,5.0,2.0,13.0,-15,0.533,0.424,0.722,43.0,27.0,5.0,3.0,14.0,15
GSW,MIA,2022-10-27,GSW,W,0.5,0.391,0.867,50.0,30.0,4.0,2.0,21.0,13,0.443,0.326,0.818,31.0,25.0,16.0,5.0,12.0,-13
DEN,UTA,2022-10-28,DEN,W,0.459,0.459,0.647,58.0,18.0,2.0,4.0,12.0,16,0.418,0.256,0.789,38.0,24.0,7.0,8.0,10.0,-16
SAS,CHI,2022-10-28,SAS,W,0.535,0.421,0.808,42.0,37.0,7.0,3.0,21.0,5,0.475,0.333,0.808,42.0,20.0,13.0,3.0,13.0,-5
ORL,CHA,2022-10-28,ORL,W,0.494,0.27,0.731,48.0,28.0,8.0,5.0,12.0,20,0.384,0.289,0.667,47.0,21.0,3.0,4.0,15.0,-20
MIN,LAL,2022-10-28,MIN,W,0.414,0.325,0.667,49.0,27.0,13.0,8.0,10.0,9,0.416,0.31,0.704,55.0,20.0,8.0,5.0,22.0,-9
MIL,NYK,2022-10-28,MIL,W,0.385,0.289,0.815,60.0,23.0,8.0,8.0,7.0,11,0.398,0.343,0.688,54.0,19.0,6.0,5.0,13.0,-11
TOR,PHI,2022-10-28,PHI,L,0.384,0.231,0.625,45.0,20.0,9.0,5.0,17.0,-22,0.524,0.421,0.909,41.0,25.0,11.0,6.0,15.0,22
DET,ATL,2022-10-28,ATL,L,0.43,0.219,0.816,42.0,18.0,2.0,4.0,11.0,-24,0.567,0.414,0.778,45.0,31.0,5.0,8.0,7.0,24
POR,HOU,2022-10-28,POR,W,0.533,0.371,0.8,45.0,30.0,9.0,6.0,16.0,14,0.426,0.368,0.81,39.0,23.0,10.0,6.0,17.0,-14
PHX,NOP,2022-10-28,PHX,W,0.522,0.303,0.9,47.0,33.0,7.0,7.0,12.0,13,0.442,0.405,0.909,33.0,25.0,10.0,1.0,14.0,-13
WAS,IND,2022-10-28,IND,L,0.477,0.4,0.821,38.0,25.0,5.0,3.0,13.0,-10,0.506,0.517,0.909,41.0,30.0,4.0,7.0,14.0,10
BOS,CLE,2022-10-28,CLE,L,0.512,0.394,0.813,34.0,28.0,9.0,2.0,19.0,-9,0.517,0.457,0.765,42.0,18.0,5.0,2.0,16.0,9
SAC,MIA,2022-10-29,SAC,W,0.553,0.452,0.724,43.0,27.0,1.0,6.0,21.0,6,0.427,0.393,0.839,34.0,18.0,7.0,3.0,9.0,-6
